	D5G	wG	D4G	D1G	DG	D4GD5G	X	Y
58	0.738186667	43.5579	0.261160986	1.392806826	2.521235166	0.999347654	-28.8799	21.30682
59	0.742718117	44.0059	0.213381707	1.354910378	2.434359794	0.956099824	-28.8799	22.306952
60	0.740343824	43.4208	0.222113321	1.379935995	2.469120277	0.962457145	-28.8799	23.307083
61	0.721288362	43.5153	0.209206239	1.332523311	2.389719111	0.930494601	-28.8799	24.307215
62	0.990100214	42.3114	0	1.418230938	2.648500842	0.990100214	-28.8799	25.307348
63	0.819330491	43.8504	0.366552893	1.375112155	2.700076158	1.185883383	-28.8799	26.30748
64	0.954241947	43.4323	0.291762997	1.457241654	2.836218469	1.246004945	-28.8799	27.307611
65	0.629156871	43.6286	0	1.497197983	2.313359944	0.629156871	-28.8799	28.307743
66	0.710666234	43.052	0.215764032	1.403268186	2.457267444	0.926430266	-28.8799	29.307875
67	0.742999556	44.4501	0.24004585	1.325426376	2.430026562	0.983045406	-28.8799	30.308008
68	0.639065656	42.6345	0.149045458	1.324896039	2.25195352	0.788111114	-28.8799	31.30814
69	0.856258192	44.0903	0.338612014	1.316091034	2.644874802	1.194870206	-28.8799	32.308273
70	0.7209287	43.4414	0.206040306	1.350964485	2.40632204	0.926969006	-28.8799	33.308403
71	0.718981691	43.0878	0.326384394	1.287833202	2.464590832	1.045366084	-28.8799	34.308537
72	0.680710904	42.3554	0.172662864	1.408417422	2.384897228	0.853373768	-28.8799	35.308666
73	0.750065544	41.2856	0	0.359565555	1.263786568	0.750065544	-28.8799	36.3088
74	0.733062364	44.3889	0.249918953	1.323210564	2.423739808	0.982981316	-27.8747	-35.700703
75	0.742354285	45.1178	0.275739635	1.310458662	2.444899693	1.01809392	-27.8747	-34.700573
76	0.693979427	44.1536	0.06714545	0.472360687	1.349732395	0.761124878	-27.8747	-33.700439
77	0.793947648	44.0517	0.300216706	1.358201379	2.582265151	1.094164353	-27.8747	-32.700306
78	0.738040733	43.9069	0.225881782	1.359959939	2.449956455	0.963922515	-27.8747	-31.700174
